time,cloud_fraction,cloud_fraction_true,n_clouds,n_clouds_true
2026-09-01 00:00:00,0.1102294921875,0.1862945556640625,4,15
2026-09-01 01:00:00,0.1414794921875,0.1395111083984375,7,18
2026-09-01 02:00:00,0.107025146484375,0.1106109619140625,6,21
2026-09-01 03:00:00,0.0220794677734375,0.0925750732421875,5,22
2026-09-01 04:00:00,0.03564453125,0.0947723388671875,5,13
2026-09-01 05:00:00,0.0482940673828125,0.1102752685546875,4,13
2026-09-01 06:00:00,0.074920654296875,0.1043548583984375,7,15
2026-09-01 07:00:00,0.083251953125,0.086334228515625,6,12
2026-09-01 08:00:00,0.074981689453125,0.0904693603515625,5,17
2026-09-01 09:00:00,0.083343505859375,0.1113739013671875,6,15
2026-09-01 10:00:00,0.059234619140625,0.56280517578125,5,10
2026-09-01 11:00:00,0.020965576171875,0.5591583251953125,3,9
2026-09-01 12:00:00,0.0364990234375,0.441131591796875,3,9
2026-09-01 13:00:00,0.069244384765625,0.3445892333984375,5,15
2026-09-01 14:00:00,0.36407470703125,0.3910980224609375,6,14
2026-09-01 15:00:00,0.36376953125,0.4025421142578125,6,19
2026-09-01 16:00:00,0.4548187255859375,0.486572265625,9,18
2026-09-01 18:00:00,0.4391021728515625,0.5452423095703125,5,9
2026-09-01 19:00:00,0.3685302734375,0.3738250732421875,5,18
2026-09-01 20:00:00,0.4350128173828125,0.480743408203125,3,17
2026-09-01 21:00:00,0.4417877197265625,0.4757537841796875,6,19
2026-09-01 22:00:00,0.433258056640625,0.4977874755859375,2,13
2026-09-01 23:00:00,0.3988494873046875,0.538116455078125,6,10
2026-09-02 00:00:00,0.5082550048828125,0.277374267578125,3,12
2026-09-02 01:00:00,0.4606781005859375,0.3835601806640625,5,7
2026-09-02 02:00:00,0.452423095703125,0.3843994140625,4,7
2026-09-02 03:00:00,0.404388427734375,0.38433837890625,7,14
2026-09-02 04:00:00,0.0451202392578125,0.3795928955078125,3,13
2026-09-02 05:00:00,0.4552764892578125,0.355865478515625,5,8
2026-09-02 06:00:00,0.3113555908203125,0.3754119873046875,3,6
2026-09-02 07:00:00,0.3782196044921875,0.3685302734375,4,8
2026-09-02 08:00:00,0.037261962890625,0.345489501953125,1,12
2026-09-02 09:00:00,0.391510009765625,0.288665771484375,2,17
2026-09-02 10:00:00,0.374359130859375,0.4571075439453125,2,6
2026-09-02 11:00:00,0.466949462890625,0.4417266845703125,1,8
2026-09-02 12:00:00,0.439666748046875,0.4462890625,4,12
2026-09-02 13:00:00,0.439453125,0.4292755126953125,4,17
2026-09-02 14:00:00,0.4957275390625,0.5419158935546875,5,12
2026-09-02 15:00:00,0.013092041015625,0.5704345703125,1,10
2026-09-02 16:00:00,0.4581298828125,0.6363372802734375,2,8
2026-09-02 18:00:00,0.3157501220703125,0.5635986328125,2,3
2026-09-02 19:00:00,0.0,0.5931396484375,0,4
2026-09-02 20:00:00,0.0,0.5424652099609375,0,6
2026-09-02 21:00:00,0.449920654296875,0.5146942138671875,2,9
2026-09-02 22:00:00,0.360748291015625,0.5239410400390625,3,9
2026-09-02 23:00:00,0.1165313720703125,0.4923095703125,5,4
2026-09-03 00:00:00,0.0615386962890625,0.41455078125,4,10
2026-09-03 01:00:00,0.0439605712890625,0.4241790771484375,3,6
2026-09-03 02:00:00,0.4255828857421875,0.44573974609375,5,8
2026-09-03 03:00:00,0.3749847412109375,0.345977783203125,5,12
2026-09-03 04:00:00,0.3824005126953125,0.361419677734375,3,7
2026-09-03 05:00:00,0.42877197265625,0.3650970458984375,3,9
2026-09-03 06:00:00,0.0959625244140625,0.340240478515625,3,11
2026-09-03 07:00:00,0.115966796875,0.3391265869140625,2,20
2026-09-03 08:00:00,0.0234375,0.32073974609375,1,12
2026-09-03 09:00:00,0.2305908203125,0.2587432861328125,4,16
2026-09-03 10:00:00,0.2089385986328125,0.44207763671875,5,12
2026-09-03 11:00:00,0.382232666015625,0.5965576171875,4,9
2026-09-03 12:00:00,0.16015625,0.4335784912109375,1,15
2026-09-03 13:00:00,0.4184417724609375,0.574066162109375,3,16
2026-09-03 14:00:00,0.0223388671875,0.6113433837890625,2,18
2026-09-03 15:00:00,0.30084228515625,0.594696044921875,3,23
2026-09-03 16:00:00,0.18341064453125,0.59423828125,2,20
2026-09-03 18:00:00,0.060791015625,0.56207275390625,3,27
2026-09-03 19:00:00,0.2867584228515625,0.6744537353515625,3,24
2026-09-03 20:00:00,0.54119873046875,0.6755218505859375,6,18
2026-09-03 21:00:00,0.308807373046875,0.701568603515625,3,15
2026-09-03 22:00:00,0.3831329345703125,0.7407073974609375,2,10
2026-09-03 23:00:00,0.4034423828125,0.653594970703125,3,14
2026-09-04 00:00:00,0.396270751953125,0.5129852294921875,1,16
2026-09-04 01:00:00,0.3887176513671875,0.5060577392578125,2,17
2026-09-04 02:00:00,0.526031494140625,0.4892578125,4,23
2026-09-04 03:00:00,0.542205810546875,0.4807281494140625,3,16
2026-09-04 04:00:00,0.53021240234375,0.5285797119140625,1,11
2026-09-04 05:00:00,0.0175933837890625,0.52685546875,2,7
2026-09-04 06:00:00,0.533935546875,0.5213775634765625,1,4
2026-09-04 08:00:00,0.011932373046875,0.4678955078125,2,9
2026-09-04 09:00:00,0.4712371826171875,0.475250244140625,3,15
2026-09-04 10:00:00,0.4839630126953125,0.8506622314453125,3,6
2026-09-04 11:00:00,0.418212890625,0.8141632080078125,3,15
2026-09-04 12:00:00,0.62091064453125,0.74029541015625,7,29
2026-09-04 13:00:00,0.51495361328125,1.0,4,22
2026-09-04 14:00:00,0.08740234375,0.9113616943359375,4,24
